,STATE,Year,O3 (in ppm)
166,Colorado,1980,0.03895046554934823
167,Colorado,1981,0.038242822966507176
168,Colorado,1982,0.03867204146271235
169,Colorado,1983,0.04025807365439093
170,Colorado,1984,0.03892407065647245
171,Colorado,1985,0.03844952893674294
172,Colorado,1986,0.03846137079195931
173,Colorado,1987,0.040379794200187086
174,Colorado,1988,0.04156046407853637
175,Colorado,1989,0.040055390492359934
176,Colorado,1990,0.03877978056426332
177,Colorado,1991,0.040262373399579596
178,Colorado,1992,0.03871817211948791
179,Colorado,1993,0.039462749671963844
180,Colorado,1994,0.041059167050868296
181,Colorado,1995,0.038716207455429495
182,Colorado,1996,0.04072578873018364
183,Colorado,1997,0.04095195478097032
184,Colorado,1998,0.043412947523295733
185,Colorado,1999,0.0426898922333705
186,Colorado,2000,0.041302461697366157
187,Colorado,2001,0.04023309943522163
188,Colorado,2002,0.043340628599637984
189,Colorado,2003,0.04385732962902435
190,Colorado,2004,0.042595654088973714
191,Colorado,2005,0.04422831050228311
192,Colorado,2006,0.046792103810049696
193,Colorado,2007,0.04711806234386879
194,Colorado,2008,0.04758316633266533
195,Colorado,2009,0.04543837435806623
196,Colorado,2010,0.04724008617250458
197,Colorado,2011,0.04887903225806452
198,Colorado,2012,0.04942146768893757
199,Colorado,2013,0.047721378207458025
200,Colorado,2014,0.045870536404390164
201,Colorado,2015,0.04578315804849547
202,Colorado,2016,0.04619544179523141
203,Colorado,2017,0.04672716770861647
204,Colorado,2018,0.048087848323325015
205,Colorado,2019,0.04574705281722826
206,Colorado,2020,0.041155480033984705
207,Connecticut,1980,0.05487206396801599
208,Connecticut,1981,0.050955230914231854
209,Connecticut,1982,0.054787833081950725
210,Connecticut,1983,0.06042358974358974
211,Connecticut,1984,0.05335784032165422
212,Connecticut,1985,0.04855600200904068
213,Connecticut,1986,0.043786478599221794
214,Connecticut,1987,0.04684422110552764
215,Connecticut,1988,0.04960531309297913
216,Connecticut,1989,0.04718804292284108
217,Connecticut,1990,0.04481690845422711
218,Connecticut,1991,0.04698827616152844
219,Connecticut,1992,0.04115169039145908
220,Connecticut,1993,0.04369438301636444
221,Connecticut,1994,0.04544022988505747
222,Connecticut,1995,0.044351924587588375
223,Connecticut,1996,0.04579695203944419
224,Connecticut,1997,0.04870027899561578
225,Connecticut,1998,0.04689088246063713
226,Connecticut,1999,0.04825633270321361
227,Connecticut,2000,0.04308385093167701
228,Connecticut,2001,0.04830296610169492
229,Connecticut,2002,0.04953346774193548
230,Connecticut,2003,0.04493285371702638
231,Connecticut,2004,0.042307847896440126
232,Connecticut,2005,0.04617163577759871
233,Connecticut,2006,0.04477237748076145
234,Connecticut,2007,0.0461294608959757
235,Connecticut,2008,0.0438197172034564
236,Connecticut,2009,0.039431462390225276
237,Connecticut,2010,0.04447056574923547
238,Connecticut,2011,0.042414823914823915
239,Connecticut,2012,0.044668721109399075
240,Connecticut,2013,0.04433938706015891
241,Connecticut,2014,0.0430116191904048
242,Connecticut,2015,0.04433768169959001
243,Connecticut,2016,0.04391357088703563
244,Connecticut,2017,0.04116628251564044
245,Connecticut,2018,0.04096617405582923
246,Connecticut,2019,0.04258199871877002
247,Connecticut,2020,0.03874074074074074
248,Delaware,1980,0.04035117773019272
249,Delaware,1981,0.025139473684210527
250,Delaware,1982,0.035125
251,Delaware,1983,0.05085862619808307
252,Delaware,1984,0.04366617538688283
253,Delaware,1985,0.04743503230437904
254,Delaware,1986,0.04309770603228547
255,Delaware,1987,0.04758637083993661
256,Delaware,1988,0.053903470715835136
257,Delaware,1989,0.046584158415841584
258,Delaware,1990,0.04323008849557523
259,Delaware,1991,0.04649954337899544
260,Delaware,1992,0.04049741379310345
261,Delaware,1993,0.046000866551126514
262,Delaware,1994,0.04638197026022305
263,Delaware,1995,0.04652166666666667
264,Delaware,1996,0.04320981387478849
265,Delaware,1997,0.04399926090169993
266,Delaware,1998,0.04477313054499366
267,Delaware,1999,0.04560910224438903
268,Delaware,2000,0.04203743654822335
269,Delaware,2001,0.04469933554817276
270,Delaware,2002,0.04371841155234657
271,Delaware,2003,0.04127344222625529
272,Delaware,2004,0.041337123745819396
273,Delaware,2005,0.04393101225016119
274,Delaware,2006,0.044089659685863876
275,Delaware,2007,0.04465424430641821
276,Delaware,2008,0.04435634451019066
277,Delaware,2009,0.04069393511988716
278,Delaware,2010,0.04518181818181818
279,Delaware,2011,0.04032776349614396
280,Delaware,2012,0.03961687473095136
281,Delaware,2013,0.03848912058023572
282,Delaware,2014,0.03824450891007045
283,Delaware,2015,0.039580552121961265
284,Delaware,2016,0.039501600000000005
285,Delaware,2017,0.03900822030415125
286,Delaware,2018,0.03757704059362724
287,Delaware,2019,0.03951736526946108
288,Delaware,2020,0.034923809523809524
289,District Of Columbia,1980,0.03596564885496183
290,District Of Columbia,1981,0.029199400299850072
291,District Of Columbia,1982,0.03035285053929122
292,District Of Columbia,1983,0.033396576319543514
293,District Of Columbia,1984,0.02947550432276657
294,District Of Columbia,1985,0.036680445151033386
295,District Of Columbia,1986,0.03469001490312966
296,District Of Columbia,1987,0.033589488636363636
297,District Of Columbia,1988,0.03246548323471401
298,District Of Columbia,1989,0.029032608695652176
299,District Of Columbia,1990,0.03049339933993399
300,District Of Columbia,1991,0.032103399433427764
301,District Of Columbia,1992,0.02880416666666667
302,District Of Columbia,1993,0.033131182795698925
303,District Of Columbia,1994,0.033281884646628755
304,District Of Columbia,1995,0.03390934256055363
305,District Of Columbia,1996,0.03218690851735016
306,District Of Columbia,1997,0.03628162511542013
307,District Of Columbia,1998,0.038049586776859504
308,District Of Columbia,1999,0.03798341013824885
309,District Of Columbia,2000,0.03112927054478301
310,District Of Columbia,2001,0.03514794007490637
311,District Of Columbia,2002,0.03846765249537893
312,District Of Columbia,2003,0.032812558575445176
313,District Of Columbia,2004,0.0326712580348944
314,District Of Columbia,2005,0.035496289424860855
315,District Of Columbia,2006,0.03840091743119266
316,District Of Columbia,2007,0.040178937558247904
317,District Of Columbia,2008,0.03756774193548387
318,District Of Columbia,2009,0.03540094339622642
319,District Of Columbia,2010,0.04178888888888889
320,District Of Columbia,2011,0.038840845070422535
321,District Of Columbia,2012,0.03949515905947441
322,District Of Columbia,2013,0.035985232067510545
323,District Of Columbia,2014,0.03688169364881694
324,District Of Columbia,2015,0.037626556016597514
325,District Of Columbia,2016,0.03654166666666667
326,District Of Columbia,2017,0.03476367006487488
327,District Of Columbia,2018,0.03257450796626054
328,District Of Columbia,2019,0.038142857142857145
329,District Of Columbia,2020,0.031851851851851846
330,Florida,1980,0.03655960457452995
331,Florida,1981,0.03991005542359462
332,Florida,1982,0.03521117527704074
333,Florida,1983,0.03583527549992807
334,Florida,1984,0.03786706291678747
335,Florida,1985,0.03705909870575394
336,Florida,1986,0.03746650267689191
337,Florida,1987,0.04052369926450558
338,Florida,1988,0.03936245587493697
339,Florida,1989,0.038016637668551546
340,Florida,1990,0.039697429906542056
341,Florida,1991,0.0361511385199241
342,Florida,1992,0.03686037674832242
343,Florida,1993,0.03838669742406767
344,Florida,1994,0.03629253956292389
345,Florida,1995,0.03864474745253281
346,Florida,1996,0.03851272727272727
347,Florida,1997,0.0397704067887931
348,Florida,1998,0.041773500679303875
349,Florida,1999,0.04154233858217922
350,Florida,2000,0.04206571428571428
351,Florida,2001,0.039121570024945276
352,Florida,2002,0.03781709410091698
353,Florida,2003,0.037419867932713166
354,Florida,2004,0.03974822120810639
355,Florida,2005,0.03987781835889944
356,Florida,2006,0.042373499806426636
357,Florida,2007,0.04060341888911169
358,Florida,2008,0.03822721636701798
359,Florida,2009,0.03733234055663962
360,Florida,2010,0.039346185961982416
361,Florida,2011,0.039178314541213066
362,Florida,2012,0.037483089930822444
363,Florida,2013,0.036042261994284855
364,Florida,2014,0.03711144181507685
365,Florida,2015,0.035383524004596094
366,Florida,2016,0.037833022571148185
367,Florida,2017,0.03700676623897354
368,Florida,2018,0.03638238811920662
369,Florida,2019,0.036773735581188995
370,Florida,2020,0.03903023663453111
371,Georgia,1980,0.039461824953445065
372,Georgia,1981,0.041235714285714285
373,Georgia,1982,0.04638543046357616
374,Georgia,1983,0.049348645465253235
375,Georgia,1984,0.0440912017167382
376,Georgia,1985,0.04575508130081301
377,Georgia,1986,0.05155714285714286
378,Georgia,1987,0.051839544919576305
379,Georgia,1988,0.051219971570717844
380,Georgia,1989,0.04433862043526374
381,Georgia,1990,0.051161247511612475
382,Georgia,1991,0.044283936324167876
383,Georgia,1992,0.04391082474226804
384,Georgia,1993,0.050193205317577545
385,Georgia,1994,0.0446199083503055
386,Georgia,1995,0.04855914525566014
387,Georgia,1996,0.048909405654933645
388,Georgia,1997,0.049727600411946446
389,Georgia,1998,0.055832599118942734
390,Georgia,1999,0.055868637110016425
391,Georgia,2000,0.05221973684210527
392,Georgia,2001,0.04748434552998868
393,Georgia,2002,0.046054388799138396
394,Georgia,2003,0.044128552097428955
395,Georgia,2004,0.04583011099176513
396,Georgia,2005,0.046724553866490416
397,Georgia,2006,0.0507111074758711
398,Georgia,2007,0.05070338693123503
399,Georgia,2008,0.04691984140665403
