,STATE,Year,PM2.5 (in ug/m3 LC)
142,Connecticut,2009.0,8.836990256225189
143,Connecticut,2010.0,8.35367847411444
144,Connecticut,2011.0,9.331020196789229
145,Connecticut,2012.0,8.756752655538696
146,Connecticut,2013.0,9.291128372853638
147,Connecticut,2014.0,8.411023955904177
148,Connecticut,2015.0,8.251775700934578
149,Connecticut,2016.0,7.022104945717732
150,Connecticut,2017.0,5.984199395770393
151,Connecticut,2018.0,6.992721347093971
152,Connecticut,2019.0,6.911724830529752
153,Connecticut,2020.0,7.168406961178046
154,Delaware,1999.0,14.492895204262878
155,Delaware,2000.0,15.03380581148122
156,Delaware,2001.0,15.992923898531377
157,Delaware,2002.0,14.856290956749673
158,Delaware,2003.0,14.171150442477876
159,Delaware,2004.0,13.945365053322396
160,Delaware,2005.0,14.440097799511003
161,Delaware,2006.0,13.289505119453924
162,Delaware,2007.0,13.47052810902896
163,Delaware,2008.0,12.612510936132983
164,Delaware,2009.0,10.558447098976108
165,Delaware,2010.0,10.739607843137254
166,Delaware,2011.0,10.133768778576094
167,Delaware,2012.0,9.726873536299765
168,Delaware,2013.0,8.790992566681242
169,Delaware,2014.0,9.109758032526775
170,Delaware,2015.0,8.895636025998144
171,Delaware,2016.0,7.727082341742028
172,Delaware,2017.0,7.505982274741507
173,Delaware,2018.0,7.230336168489267
174,Delaware,2019.0,7.555948174322733
175,Delaware,2020.0,7.523888888888889
176,District Of Columbia,1999.0,15.850722543352601
177,District Of Columbia,2000.0,16.073350253807106
178,District Of Columbia,2001.0,16.226996966632964
179,District Of Columbia,2002.0,15.544724104549855
180,District Of Columbia,2003.0,13.741352201257861
181,District Of Columbia,2004.0,13.952728613569322
182,District Of Columbia,2005.0,14.211220196353437
183,District Of Columbia,2006.0,12.832211882605582
184,District Of Columbia,2007.0,12.69557251908397
185,District Of Columbia,2008.0,11.058352059925094
186,District Of Columbia,2009.0,9.605092250922509
187,District Of Columbia,2010.0,10.456633813495072
188,District Of Columbia,2011.0,10.633353884093712
189,District Of Columbia,2012.0,10.274886141834743
190,District Of Columbia,2013.0,9.69697821503865
191,District Of Columbia,2014.0,9.646070460704607
192,District Of Columbia,2015.0,9.783700081499592
193,District Of Columbia,2016.0,8.967026578073089
194,District Of Columbia,2017.0,9.391079460269866
195,District Of Columbia,2018.0,8.654087638979725
196,District Of Columbia,2019.0,8.254335260115607
197,District Of Columbia,2020.0,6.231769722814499
198,Florida,1999.0,11.34835228367701
199,Florida,2000.0,11.389443034194416
200,Florida,2001.0,10.137936507936507
201,Florida,2002.0,9.40126362160909
202,Florida,2003.0,9.546702625686953
203,Florida,2004.0,10.685223055366205
204,Florida,2005.0,10.703772660460558
205,Florida,2006.0,10.232709554409999
206,Florida,2007.0,10.081441628313994
207,Florida,2008.0,9.021554547021314
208,Florida,2009.0,8.36073225839581
209,Florida,2010.0,8.684468664850135
210,Florida,2011.0,9.209046862589355
211,Florida,2012.0,8.165308778551442
212,Florida,2013.0,7.506485921554162
213,Florida,2014.0,7.752837729816147
214,Florida,2015.0,7.382775949745738
215,Florida,2016.0,7.508997299122214
216,Florida,2017.0,8.123795083553777
217,Florida,2018.0,7.5655933406465765
218,Florida,2019.0,7.69629427130794
219,Florida,2020.0,8.244717800289436
220,Georgia,1999.0,19.74962459778334
221,Georgia,2000.0,17.573201605433777
222,Georgia,2001.0,15.797567409144198
223,Georgia,2002.0,14.283538993089833
224,Georgia,2003.0,14.073248175182481
