,STATE,Year,SO2 (in ppb)
153,California,1990,5.582695847821641
154,California,1991,5.211230191444536
155,California,1992,4.820687772925764
156,California,1993,3.9883114172406597
157,California,1994,3.915152456385567
158,California,1995,4.650768991766351
159,California,1996,4.5020036824434095
160,California,1997,4.232929164007658
161,California,1998,4.704313190756423
162,California,1999,5.442006750536975
163,California,2000,5.184425149236374
164,California,2001,5.068060091443501
165,California,2002,4.665220161404502
166,California,2003,3.977846359782851
167,California,2004,4.496205427579678
168,California,2005,3.5256756756756755
169,California,2006,3.7797921950421336
170,California,2007,2.926285083569852
171,California,2008,2.6284995041574493
172,California,2009,2.1856504133625783
173,California,2010,1.8357154524665142
174,California,2011,1.8113802061510098
175,California,2012,1.5133806059489823
176,California,2013,1.5339171408250356
177,California,2014,1.3909898719663674
178,California,2015,1.2268666479768247
179,California,2016,1.2719275786393562
180,California,2017,1.2258899676375405
181,California,2018,1.1856289156626505
182,California,2019,1.227146535318482
183,Colorado,1980,35.12
184,Colorado,1981,31.01566265060241
185,Colorado,1982,22.560077519379846
186,Colorado,1983,25.296875
187,Colorado,1984,20.411290322580644
188,Colorado,1985,15.9375
189,Colorado,1986,14.734196496572734
190,Colorado,1987,21.913793103448278
191,Colorado,1988,9.327873403664631
192,Colorado,1989,9.52393063583815
193,Colorado,1990,9.51037246581801
194,Colorado,1991,11.385371179039302
195,Colorado,1992,13.291491911324146
196,Colorado,1993,13.451086956521738
197,Colorado,1994,13.947916666666666
198,Colorado,1995,12.070719602977668
199,Colorado,1996,12.993248610007942
200,Colorado,1997,11.669020715630886
201,Colorado,1998,11.671896631287494
202,Colorado,1999,10.257390417940877
203,Colorado,2000,9.777019937040924
204,Colorado,2001,12.492832427088482
205,Colorado,2002,16.370232558139534
206,Colorado,2003,11.37963843958135
207,Colorado,2004,10.30659767141009
208,Colorado,2005,9.10204081632653
209,Colorado,2006,9.247774480712167
210,Colorado,2007,8.945147679324894
211,Colorado,2008,7.598726114649682
212,Colorado,2009,7.454157782515991
213,Colorado,2010,7.333333333333333
214,Colorado,2011,7.233559322033898
215,Colorado,2012,5.2405867970660145
216,Colorado,2013,7.440464547677262
217,Colorado,2014,5.749365482233503
218,Colorado,2015,6.364138908575478
219,Colorado,2016,5.162464589235127
220,Colorado,2017,2.5852941176470585
221,Colorado,2018,1.922344747533372
222,Colorado,2019,2.050422352176738
223,Colorado,2020,2.6289473684210525
224,Connecticut,1980,23.72559802034644
225,Connecticut,1981,25.417301038062284
226,Connecticut,1982,24.96711138690661
227,Connecticut,1983,22.791239257000278
228,Connecticut,1984,21.972089314194577
229,Connecticut,1985,23.19448073154801
230,Connecticut,1986,24.075040518638573
231,Connecticut,1987,22.34685695958948
232,Connecticut,1988,24.127069051997992
233,Connecticut,1989,22.05405863412981
234,Connecticut,1990,19.820010777797737
235,Connecticut,1991,18.365929203539824
236,Connecticut,1992,15.659602649006622
237,Connecticut,1993,14.368585452922803
238,Connecticut,1994,14.58186126669539
239,Connecticut,1995,11.245538593850785
240,Connecticut,1996,10.480442978322337
241,Connecticut,1997,10.640190972222221
242,Connecticut,1998,10.900055370985603
243,Connecticut,1999,11.611593059936908
244,Connecticut,2000,10.460304731355253
245,Connecticut,2001,11.801276935355148
246,Connecticut,2002,10.17611821086262
247,Connecticut,2003,9.386103434662456
248,Connecticut,2004,9.14081713605712
249,Connecticut,2005,9.831711273317113
250,Connecticut,2006,7.4877657440834335
251,Connecticut,2007,6.240433673469388
252,Connecticut,2008,4.89685703334611
253,Connecticut,2009,4.26365818530965
254,Connecticut,2010,2.9563874345549737
255,Connecticut,2011,3.3631948507899354
256,Connecticut,2012,2.2856901408450705
257,Connecticut,2013,1.8885057471264368
258,Connecticut,2014,1.6881587953456538
259,Connecticut,2015,0.9655386740331491
260,Connecticut,2016,0.7446509009009009
261,Connecticut,2017,0.5821180555555556
262,Connecticut,2018,0.5328922495274102
263,Connecticut,2019,0.4263500931098696
264,Delaware,1980,21.91640378548896
265,Delaware,1981,20.37752414398595
266,Delaware,1982,22.994768962510896
267,Delaware,1983,29.916930379746834
268,Delaware,1984,28.219584569732937
269,Delaware,1985,26.85617469879518
270,Delaware,1986,27.796741660201707
271,Delaware,1987,27.16241917078737
272,Delaware,1988,33.10360160071143
273,Delaware,1989,33.07288935500787
274,Delaware,1990,27.52705749718151
275,Delaware,1991,26.83961187214612
276,Delaware,1992,27.753488372093024
277,Delaware,1993,28.494430693069308
278,Delaware,1994,27.77828397873956
279,Delaware,1995,26.587106676899463
280,Delaware,1996,25.076399394856278
281,Delaware,1997,24.11490909090909
282,Delaware,1998,24.419110690633868
283,Delaware,1999,20.897560975609757
284,Delaware,2000,17.335719968178203
285,Delaware,2001,18.049707602339183
286,Delaware,2002,16.890041493775932
287,Delaware,2003,19.397701149425288
288,Delaware,2004,16.372324159021407
289,Delaware,2005,18.719285182427402
290,Delaware,2006,15.711404728789987
291,Delaware,2007,11.90967741935484
292,Delaware,2008,11.412256267409472
293,Delaware,2009,7.11152125279642
294,Delaware,2010,4.152476572958501
295,Delaware,2011,3.5432432432432432
296,Delaware,2012,2.470345489443378
297,Delaware,2013,1.844336569579288
298,Delaware,2014,2.0102857142857142
299,Delaware,2015,1.4496067755595885
300,Delaware,2016,1.043140589569161
301,Delaware,2017,0.7721016738995661
302,Delaware,2018,0.7446630888491353
303,Delaware,2019,0.8939024390243903
304,Delaware,2020,1.1013698630136988
305,District Of Columbia,1980,28.20891719745223
306,District Of Columbia,1981,30.37518910741301
307,District Of Columbia,1982,27.14264264264264
308,District Of Columbia,1983,24.97123519458545
309,District Of Columbia,1984,26.453857791225417
310,District Of Columbia,1985,23.11782032400589
311,District Of Columbia,1986,26.94331395348837
312,District Of Columbia,1987,25.40735294117647
313,District Of Columbia,1989,33.607594936708864
314,District Of Columbia,1990,27.53768115942029
315,District Of Columbia,1991,26.803206997084548
316,District Of Columbia,1992,22.64673157162726
317,District Of Columbia,1993,21.847385272145143
318,District Of Columbia,1994,22.95693779904306
319,District Of Columbia,1995,19.058252427184467
320,District Of Columbia,1996,17.426739926739927
321,District Of Columbia,1997,16.13150684931507
322,District Of Columbia,1998,17.934246575342467
323,District Of Columbia,1999,18.77961432506887
324,District Of Columbia,2000,17.502747252747252
325,District Of Columbia,2001,16.28
326,District Of Columbia,2002,16.873626373626372
327,District Of Columbia,2003,18.127478753541077
328,District Of Columbia,2004,15.0939226519337
329,District Of Columbia,2005,11.717808219178082
