,STATE,Year,PM10 (in ug/m3 SC)
56,Alaska,2012,16.266310794780544
57,Alaska,2013,15.316124706671136
58,Alaska,2014,20.25461789206809
59,Alaska,2015,16.828103683492497
60,Alaska,2016,17.980332167832167
61,Alaska,2017,13.239789196310936
62,Alaska,2018,12.34733566705562
63,Alaska,2019,15.14958348424484
64,Arizona,1988,43.320251177394034
65,Arizona,1989,45.23122142390594
66,Arizona,1990,35.727474972191324
67,Arizona,1991,31.883373493975903
68,Arizona,1992,29.37384473197782
69,Arizona,1993,27.36222326895902
70,Arizona,1994,26.560155239327297
71,Arizona,1995,29.94991055456172
72,Arizona,1996,28.767547481420312
73,Arizona,1997,40.54872303496157
74,Arizona,1998,38.7434965034965
75,Arizona,1999,35.7391435464415
76,Arizona,2000,35.44539614561028
77,Arizona,2001,30.33875128998968
78,Arizona,2002,34.669995129079396
79,Arizona,2003,31.35132340777502
80,Arizona,2004,28.201779876498364
81,Arizona,2005,39.16496128318584
82,Arizona,2006,55.1150598861182
83,Arizona,2007,52.50635129215944
84,Arizona,2008,43.59754385964912
85,Arizona,2009,39.02510658455708
86,Arizona,2010,31.265862411239215
87,Arizona,2011,40.340513257979666
88,Arizona,2012,38.35180145152929
89,Arizona,2013,33.760977582620754
90,Arizona,2014,34.81597756762701
91,Arizona,2015,26.450094686420854
92,Arizona,2016,31.380550621669627
93,Arizona,2017,34.31777031258896
94,Arizona,2018,33.84819532908705
95,Arizona,2019,25.729028364514182
96,Arkansas,1988,30.28
97,Arkansas,1989,27.66235446313066
98,Arkansas,1990,25.78122380553227
99,Arkansas,1991,23.573426573426573
100,Arkansas,1992,24.540201005025125
101,Arkansas,1993,24.538789428815004
102,Arkansas,1994,24.754355400696863
103,Arkansas,1995,26.069887834339948
104,Arkansas,1996,24.412371134020617
105,Arkansas,1997,22.204225352112676
106,Arkansas,1998,34.18032786885246
107,Arkansas,1999,29.81159420289855
108,Arkansas,2000,27.585858585858585
109,Arkansas,2001,26.64423076923077
110,Arkansas,2002,23.551724137931036
111,Arkansas,2003,24.49074074074074
112,Arkansas,2004,24.30841121495327
113,Arkansas,2005,24.233128834355828
114,Arkansas,2006,21.660919540229884
115,Arkansas,2007,23.43975903614458
116,Arkansas,2008,19.770114942528735
117,Arkansas,2009,17.514450867052023
118,Arkansas,2010,21.244444444444444
119,Arkansas,2011,21.323383084577113
120,Arkansas,2012,19.11111111111111
121,Arkansas,2013,18.15126050420168
122,Arkansas,2014,17.540425531914895
123,Arkansas,2015,18.636363636363637
124,Arkansas,2016,18.01421800947867
125,Arkansas,2017,17.3125
126,Arkansas,2018,17.275092936802974
127,Arkansas,2019,16.623616236162363
128,California,1988,39.43190779496512
129,California,1989,40.987267507177634
130,California,1990,37.38211095439586
131,California,1991,38.32506053268765
132,California,1992,32.86496175908222
133,California,1993,31.81691772885284
134,California,1994,31.34221208919535
135,California,1995,31.765317372814618
136,California,1996,28.12827607022486
137,California,1997,26.36432690175205
138,California,1998,24.58753956355156
139,California,1999,29.745045646849253
140,California,2000,31.39896174863388
141,California,2001,35.49833676540472
142,California,2002,35.93309387229936
143,California,2003,34.096998620055196
144,California,2004,29.832636483096405
145,California,2005,24.65476873637094
146,California,2006,29.951078582434516
147,California,2007,27.048765694183295
148,California,2008,28.692437057921552
149,California,2009,26.708966382096175
150,California,2010,24.407305685251306
151,California,2011,25.839295404265975
152,California,2012,25.700644150417826
153,California,2013,27.30009970089731
154,California,2014,26.644700020476417
155,California,2015,24.40400294145858
156,California,2016,26.503477993228685
157,California,2017,27.927178986546263
158,California,2018,27.688796680497926
159,California,2019,22.952434456928838
160,California,2020,19.21276595744681
161,Colorado,1988,29.08344063868143
162,Colorado,1989,29.82935586061246
163,Colorado,1990,25.710193452380953
164,Colorado,1991,27.170350673092905
165,Colorado,1992,27.40430908365474
166,Colorado,1993,26.72932944606414
167,Colorado,1994,25.14247468280759
168,Colorado,1995,22.85888538380652
169,Colorado,1996,22.991809629219702
170,Colorado,1997,23.2636426433341
171,Colorado,1998,24.16955999563271
172,Colorado,1999,23.878741533755736
173,Colorado,2000,23.285714285714285
174,Colorado,2001,24.38043946574752
175,Colorado,2002,26.902678234628443
176,Colorado,2003,24.528327730046072
177,Colorado,2004,22.889505615076803
178,Colorado,2005,23.472178636089318
179,Colorado,2006,22.712628290941545
