,STATE,Year,CO (in ppm)
978,Mississippi,2012,0.2723756906077348
979,Mississippi,2013,0.34619565217391307
980,Mississippi,2014,0.3256267409470752
981,Mississippi,2015,0.416986301369863
982,Mississippi,2016,0.3202185792349727
983,Mississippi,2017,0.3565096952908587
984,Mississippi,2018,0.22536764705882353
985,Mississippi,2019,0.24027397260273972
986,Mississippi,2020,0.2918032786885246
987,Missouri,1980,2.5189516129032254
988,Missouri,1981,1.8942701798410706
989,Missouri,1982,1.8119768477292963
990,Missouri,1983,1.5947070572569906
991,Missouri,1984,1.7372168284789644
992,Missouri,1985,1.444597643519679
993,Missouri,1986,1.6264975715056664
994,Missouri,1987,1.5512484548825711
995,Missouri,1988,1.405309523809524
996,Missouri,1989,1.2990714285714287
997,Missouri,1990,1.319459868753155
998,Missouri,1991,1.1759594496741492
999,Missouri,1992,1.1454176610978521
1000,Missouri,1993,1.1520240213523132
1001,Missouri,1994,1.1344492440604752
1002,Missouri,1995,1.1283748925193464
1003,Missouri,1996,1.0824470482199189
1004,Missouri,1997,1.1203959484346224
1005,Missouri,1998,1.1582978723404254
1006,Missouri,1999,1.0390945472736368
1007,Missouri,2000,0.9334568187080342
1008,Missouri,2001,0.8512533875338754
1009,Missouri,2002,0.8470063694267516
1010,Missouri,2003,0.7954649827784156
1011,Missouri,2004,0.6408333333333333
1012,Missouri,2005,0.6412483912483913
1013,Missouri,2006,0.5673111782477341
1014,Missouri,2007,0.5505168849069607
1015,Missouri,2008,0.4326685006877579
1016,Missouri,2009,0.3847445766270119
1017,Missouri,2010,0.3548109965635739
1018,Missouri,2011,0.37095890410958904
1019,Missouri,2012,0.3773224043715847
1020,Missouri,2013,0.37276995305164323
1021,Missouri,2014,0.3689275893675527
1022,Missouri,2015,0.39066918001885015
1023,Missouri,2016,0.41145539906103284
1024,Missouri,2017,0.3728797763280522
1025,Missouri,2018,0.3694977168949772
1026,Missouri,2019,0.36090573012939003
1027,Montana,1980,2.943143143143143
1028,Montana,1981,2.364232209737828
1029,Montana,1982,2.6778242677824267
1030,Montana,1983,2.8846607669616517
1031,Montana,1984,2.0869727047146402
1032,Montana,1985,2.268774193548387
1033,Montana,1986,2.8896028037383177
1034,Montana,1987,3.2636042402826857
1035,Montana,1988,3.230675422138837
1036,Montana,1989,2.832462686567164
1037,Montana,1990,2.4542239685658154
1038,Montana,1991,2.718001978239367
1039,Montana,1992,2.5697412823397077
1040,Montana,1993,2.4414348462664717
1041,Montana,1994,2.200426136363636
1042,Montana,1995,2.174180041870202
1043,Montana,1996,1.913177570093458
1044,Montana,1997,1.7762567324955116
1045,Montana,1998,1.7278046811945118
1046,Montana,1999,1.4367245657568237
1047,Montana,2000,1.3137023593466426
1048,Montana,2001,1.2570941627609715
1049,Montana,2002,1.0544212523719165
1050,Montana,2003,1.0831779331779332
1051,Montana,2004,0.9328339575530586
1052,Montana,2005,0.86168430335097
