,STATE,Year,NO2 (in ppb)
664,Maine,2016,9.955193482688392
665,Maine,2017,11.05866916588566
666,Maine,2018,10.905582761998042
667,Maine,2019,10.149589322381932
668,Maine,2020,20.686021505376342
669,Maryland,1980,45.78358925143954
670,Maryland,1981,40.59928656361475
671,Maryland,1982,45.416359163591636
672,Maryland,1983,43.61270022883295
673,Maryland,1984,40.594193112761644
674,Maryland,1985,47.86654478976234
675,Maryland,1986,48.1699604743083
676,Maryland,1987,47.61538461538461
677,Maryland,1988,44.57033492822966
678,Maryland,1989,42.964525407478426
679,Maryland,1990,46.04209183673469
680,Maryland,1991,47.628571428571426
681,Maryland,1992,44.71898355754858
682,Maryland,1993,45.15129682997118
683,Maryland,1994,44.225806451612904
684,Maryland,1995,35.51435132032147
685,Maryland,1996,38.673443456162644
686,Maryland,1997,36.90268456375839
687,Maryland,1998,37.44631578947369
688,Maryland,1999,36.690302398331596
689,Maryland,2000,32.71863117870723
690,Maryland,2001,32.50676378772113
691,Maryland,2002,34.1923937360179
692,Maryland,2003,36.797587131367294
693,Maryland,2004,33.23613086770982
694,Maryland,2005,30.342989571263036
695,Maryland,2006,28.63529411764706
696,Maryland,2007,28.176033934252384
697,Maryland,2008,29.48051948051948
698,Maryland,2009,29.41399416909621
699,Maryland,2010,30.16329866270431
700,Maryland,2011,29.303437967115098
701,Maryland,2012,24.714942528735634
702,Maryland,2013,22.318207024029576
703,Maryland,2014,20.718672199170125
704,Maryland,2015,21.113957597173144
705,Maryland,2016,22.117867575462512
706,Maryland,2017,20.393729372937294
707,Maryland,2018,18.40185094982952
708,Maryland,2019,19.29208167330677
709,Massachusetts,1980,56.40483870967742
710,Massachusetts,1981,52.63047285464098
711,Massachusetts,1982,43.86094069529652
712,Massachusetts,1983,39.819174181300426
713,Massachusetts,1984,45.18401071907101
714,Massachusetts,1985,42.35745296671491
715,Massachusetts,1986,41.915913200723324
716,Massachusetts,1987,45.12494811124948
717,Massachusetts,1988,43.41148701809599
718,Massachusetts,1989,41.79731182795699
719,Massachusetts,1990,38.71586424625099
720,Massachusetts,1991,39.55800792303339
721,Massachusetts,1992,37.52558009505172
722,Massachusetts,1993,39.209444580376804
723,Massachusetts,1994,38.686501504978004
724,Massachusetts,1995,33.42633814783348
725,Massachusetts,1996,32.24687729610581
726,Massachusetts,1997,29.416764498708616
727,Massachusetts,1998,27.821235347159604
728,Massachusetts,1999,28.76617954070981
729,Massachusetts,2000,26.07852729145211
730,Massachusetts,2001,26.76354273944387
731,Massachusetts,2002,27.00071942446043
732,Massachusetts,2003,24.792800967937083
733,Massachusetts,2004,21.68092105263158
734,Massachusetts,2005,23.017464937814236
735,Massachusetts,2006,21.062350119904078
736,Massachusetts,2007,21.73641549084359
737,Massachusetts,2008,22.25743369943745
738,Massachusetts,2009,20.678671133445004
739,Massachusetts,2010,19.623548740416208
740,Massachusetts,2011,21.423276539973788
741,Massachusetts,2012,18.19884199691199
742,Massachusetts,2013,18.990972401341242
743,Massachusetts,2014,19.3260101010101
744,Massachusetts,2015,19.12351611079706
745,Massachusetts,2016,17.275950814984274
746,Massachusetts,2017,16.471424509525164
747,Massachusetts,2018,17.072100313479623
748,Massachusetts,2019,17.07688781014024
749,Massachusetts,2020,22.935197368421054
750,Michigan,1980,33.09402782490669
751,Michigan,1981,40.60035698348951
752,Michigan,1982,28.82239185750636
753,Michigan,1983,43.46577380952381
754,Michigan,1984,33.6944385026738
755,Michigan,1985,19.261583824768323
756,Michigan,1986,17.492784667418263
757,Michigan,1987,20.827300930713548
758,Michigan,1988,24.852260638297874
759,Michigan,1989,25.718339416058395
760,Michigan,1990,22.576656775469832
761,Michigan,1991,20.970961611554543
762,Michigan,1992,22.274878218510786
763,Michigan,1993,24.682507169192952
764,Michigan,1994,30.812176909821943
765,Michigan,1995,27.606646525679757
766,Michigan,1996,27.64849833147942
767,Michigan,1997,30.781491002570693
768,Michigan,1998,37.07215007215007
769,Michigan,1999,37.21923937360179
770,Michigan,2000,27.001036269430053
771,Michigan,2001,35.39691289966924
772,Michigan,2002,35.03283582089552
773,Michigan,2003,35.060287081339716
774,Michigan,2004,29.40599173553719
775,Michigan,2005,32.24819773429454
776,Michigan,2006,28.020220588235293
777,Michigan,2007,28.818897637795274
778,Michigan,2008,26.75211267605634
779,Michigan,2009,26.62912087912088
780,Michigan,2010,18.42168674698795
781,Michigan,2011,16.874839743589742
782,Michigan,2012,19.79267572356763
783,Michigan,2013,18.91642978965321
784,Michigan,2014,19.221334854535083
785,Michigan,2015,20.28045351473923
786,Michigan,2016,20.009898843930635
787,Michigan,2017,19.198030791263875
788,Michigan,2018,19.58362266622994
789,Michigan,2019,19.697771865646825
790,Minnesota,1980,46.795698924731184
791,Minnesota,1981,43.284132841328415
792,Minnesota,1982,35.14779874213836
793,Minnesota,1983,34.967845659163984
794,Minnesota,1984,34.90599675850891
795,Minnesota,1985,35.624260355029584
796,Minnesota,1986,35.96327212020034
797,Minnesota,1987,32.61002444987775
798,Minnesota,1988,32.948424068767906
799,Minnesota,1989,25.152806652806653
800,Minnesota,1990,23.34591584158416
801,Minnesota,1991,30.688540646425075
802,Minnesota,1992,21.482666666666667
803,Minnesota,1993,36.98697539797395
804,Minnesota,1994,33.39864209505335
805,Minnesota,1995,32.83667273831208
806,Minnesota,1996,30.505338078291814
807,Minnesota,1997,28.46658014276444
808,Minnesota,1998,32.01358695652174
809,Minnesota,1999,28.718572587185726
810,Minnesota,2000,28.338224504768892
811,Minnesota,2001,27.661462029808376
812,Minnesota,2002,23.603798297314995
813,Minnesota,2003,18.52256699576869
814,Minnesota,2004,15.538613861386139
815,Minnesota,2005,20.243877551020407
816,Minnesota,2006,19.926570048309177
817,Minnesota,2007,19.34237288135593
818,Minnesota,2008,17.81578947368421
819,Minnesota,2009,16.122429906542056
820,Minnesota,2010,14.625840179238237
821,Minnesota,2011,16.538825757575758
822,Minnesota,2012,13.161290322580646
823,Minnesota,2013,16.405837387074357
824,Minnesota,2014,18.520689655172415
825,Minnesota,2015,16.88266516092603
826,Minnesota,2016,16.542037141249295
827,Minnesota,2017,16.385197368421053
828,Minnesota,2018,17.539634864546525
829,Minnesota,2019,16.42449324324324
830,Mississippi,1980,36.91728395061729
831,Mississippi,1981,38.75308641975309
832,Mississippi,1982,30.019607843137255
833,Mississippi,1996,9.093333333333334
834,Mississippi,1997,15.24773413897281
835,Mississippi,1998,16.399159663865547
836,Mississippi,1999,20.859536082474225
837,Mississippi,2000,17.790436005625878
838,Mississippi,2001,15.946938775510205
839,Mississippi,2002,13.320469798657719
840,Mississippi,2003,9.635097493036211
841,Mississippi,2004,10.572535991140642
842,Mississippi,2005,16.770601336302896
843,Mississippi,2006,19.616666666666667
844,Mississippi,2007,15.455223880597014
845,Mississippi,2008,16.24922118380062
846,Mississippi,2009,11.60576923076923
847,Mississippi,2010,14.141274238227147
848,Mississippi,2011,12.955096418732781
849,Mississippi,2012,11.956953642384105
850,Mississippi,2013,11.795762711864406
851,Mississippi,2014,12.003899721448468
852,Mississippi,2015,13.439219712525666
853,Mississippi,2016,13.893515358361775
854,Mississippi,2017,13.61552511415525
855,Mississippi,2018,13.120149253731343
856,Mississippi,2019,13.32801204819277
857,Mississippi,2020,14.208695652173914
858,Missouri,1980,47.14492753623188
859,Missouri,1981,34.88559724018974
860,Missouri,1982,31.176944894651538
861,Missouri,1983,31.85412026726058
862,Missouri,1984,33.2220112726194
863,Missouri,1985,31.96056168987038
864,Missouri,1986,32.56314960629921
865,Missouri,1987,31.078706774040736
866,Missouri,1988,33.44704480457578
867,Missouri,1989,33.294525460196034
868,Missouri,1990,30.08953007061115
869,Missouri,1991,29.90814673654121
870,Missouri,1992,31.58265647396082
871,Missouri,1993,29.92711067095816
872,Missouri,1994,32.550117481203
873,Missouri,1995,30.255245737211634
874,Missouri,1996,28.945127904706112
875,Missouri,1997,28.463756345177664
876,Missouri,1998,28.35060012634239
877,Missouri,1999,30.425478242589868
878,Missouri,2000,26.387217305801375
879,Missouri,2001,25.577058823529413
880,Missouri,2002,25.568767908309457
881,Missouri,2003,25.453786772376382
882,Missouri,2004,23.996672212978368
883,Missouri,2005,23.95524861878453
884,Missouri,2006,23.949410304158906
885,Missouri,2007,21.863200247601362
886,Missouri,2008,19.851280468991053
887,Missouri,2009,17.882515337423314
888,Missouri,2010,18.53264268960125
889,Missouri,2011,27.533757062146893
890,Missouri,2012,28.171104815864023
891,Missouri,2013,25.681485919712404
892,Missouri,2014,24.271335927367055
893,Missouri,2015,21.84713689799014
894,Missouri,2016,20.70383399209486
895,Missouri,2017,20.401897456600725
896,Missouri,2018,20.04073180538802
897,Missouri,2019,18.54500696702276
